intcal20_t	intcal20_dt	z	sed	from_68_3	to_68_3	from_95_4	to_95_4	
-6387.2	1496.8	0	NaN	10428	7293	10428	5629	
-3586.1	901.4	5	NaN	5471	4825	7790	4551	
-2871.9	218.1	10	0.0120	4863	4573	5360	4446	
-2754.5	241.6	15	0.0426	4815	4435	5280	4302	
-2637.1	271.5	20	0.0426	4775	4309	5224	4094	
-2519.8	293.5	25	0.0426	4700	4173	5141	3917	
-2402.3	321.1	30	0.0426	4627	4036	5067	3725	
-2284.9	328.0	35	0.0426	4517	3913	4960	3589	
-2167.5	341.6	40	0.0426	4416	3786	4866	3449	
-2050.1	350.5	45	0.0426	4310	3666	4760	3301	
-1932.8	365.2	50	0.0438	4221	3546	4652	3164	
-1821.9	387.8	55	0.0451	4137	3426	4589	2988	
-1711.0	410.5	60	0.0451	4058	3301	4512	2820	
-1600.3	433.3	65	0.0451	3979	3177	4423	2651	
-1489.4	446.0	70	0.0451	3886	3060	4334	2509	
-1378.7	459.5	75	0.0452	3792	2942	4244	2361	
-1268.0	473.7	80	0.0495	3706	2822	4158	2219	
-1176.6	479.6	85	0.0548	3611	2723	4074	2114	
-1085.3	490.4	90	0.0548	3536	2625	4005	2010	
-994.0	501.8	95	0.0547	3456	2525	3928	1888	
-902.7	516.2	100	0.0548	3385	2430	3869	1774	